,x,y,Sample.ID,Field,Sample.Date,Season,mid_depth,DepthMin.cm.,DepthMax.cm.,pH,pH.CaCl,EC,ECse,Cl.ppm,NO3N.ppm,NH4N.ppm,P.Colwell.ppm,PBI,Ca.ppm,K.ppm,Mg.ppm,Na.ppm,Ca.Mg,CEC.ppm,ESP,Cu.ppm,Fe.ppm,Mn.ppm,Zn.ppm,B.ppm,S.ppm,P.BSES,Silt,Clay,Sand,TOC,EM_50,EM_100,EM_150,EM_300,gamma_k,gamma_th,gamma_u,gamma_TC,landscape_change,elevation,DEM_30,aspect,MrRTF,MrVBF,PlanCurvature,ProfileCurvature,SlopeDeg,SlopePct,SlopeRelief,TPI_class,TPI_mask,TWI,rad_dose,rad_k,rad_ratio_tk,rad_ratio_u2th,rad_ratio_uk,rad_ratio_uth,rad_th,rad_u,NDVI_5,NDVI_50,NDVI_95,RED_5,RED_50,RED_95
1,798997.1155,6760464.552,1,OD01,17/05/2020,2020,7.5,0,15,7,6.5,0.41,2.5,10,18,1,18,64,25,0.59,8.8,1.6,2.8,36.2,4.3,1,12,25,0.33,0.6,230,22,8,29,63,0.75,123.2276382,213.9891968,236.7361908,288.3574524,0.10491395,16.39213753,2.244617701,1165.673218,0.016374076,228.0857258,230,230.6578979,5.50850296,7,0.002516421,7.14E-05,0.224706233,0.39218837,11,2,0,10.41654015,25.6006813,0.192349195,36.66376114,0.133035347,5.035665512,0.137347206,7.05224514,0.968606174,0.11576736,0.16259405,0.812874615,357.5,1161.833333,1812.5
2,798997.1155,6760464.552,1,OD01,17/05/2020,2020,22.5,15,30,8.1,7.1,0.24,1.5,14,22,1,7,72,23,0.38,8.1,2.9,2.8,34.4,8.4,0.83,12,11,0.21,1,71,10,6,27,67,0.63,123.2276382,213.9891968,236.7361908,288.3574524,0.10491395,16.39213753,2.244617701,1165.673218,0.016374076,228.0857258,230,230.6578979,5.50850296,7,0.002516421,7.14E-05,0.224706233,0.39218837,11,2,0,10.41654015,25.6006813,0.192349195,36.66376114,0.133035347,5.035665512,0.137347206,7.05224514,0.968606174,0.11576736,0.16259405,0.812874615,357.5,1161.833333,1812.5
3,798997.1155,6760464.552,1,OD01,17/05/2020,2020,45,30,60,8.8,7.8,0.29,NA,45,34,0.9,NA,NA,25,0.34,9.3,4.9,2.7,39.2,12,NA,NA,NA,NA,NA,39,NA,10,23,66,NA,123.2276382,213.9891968,236.7361908,288.3574524,0.10491395,16.39213753,2.244617701,1165.673218,0.016374076,228.0857258,230,230.6578979,5.50850296,7,0.002516421,7.14E-05,0.224706233,0.39218837,11,2,0,10.41654015,25.6006813,0.192349195,36.66376114,0.133035347,5.035665512,0.137347206,7.05224514,0.968606174,0.11576736,0.16259405,0.812874615,357.5,1161.833333,1812.5
4,798997.1155,6760464.552,1,OD01,17/05/2020,2020,75,60,90,7.8,7.7,3.12,NA,170,27,0.7,NA,NA,92,0.4,9,8,10,109,7.3,NA,NA,NA,NA,NA,2600,NA,10,30,60,NA,123.2276382,213.9891968,236.7361908,288.3574524,0.10491395,16.39213753,2.244617701,1165.673218,0.016374076,228.0857258,230,230.6578979,5.50850296,7,0.002516421,7.14E-05,0.224706233,0.39218837,11,2,0,10.41654015,25.6006813,0.192349195,36.66376114,0.133035347,5.035665512,0.137347206,7.05224514,0.968606174,0.11576736,0.16259405,0.812874615,357.5,1161.833333,1812.5
5,801260.1262,6760181.44,2,OD01,17/05/2020,2020,7.5,0,15,6.3,6,0.66,4.1,10,10,0.8,14,57,21,0.41,7.2,1.2,2.9,29.9,4,0.82,15,35,0.37,0.5,630,8,10,26,64,0.84,113.5033951,192.8097687,205.1743317,260.1749878,-0.033359308,14.42799377,2.291386604,1068.132568,-0.031514522,233.242053,233,273.5236816,4.55700016,7,-0.007734405,4.14E-06,0.066894807,0.116753519,11,2,0,14.57658768,23.99225235,0.185666367,33.40825653,0.185924351,5.784001827,0.173130915,6.202789307,1.07389462,0.110827491,0.173332855,0.828413606,294.5,1079,1724
6,801260.1262,6760181.44,2,OD01,17/05/2020,2020,22.5,15,30,7.2,6.6,0.39,2.4,10,5.4,0.8,5,68,22,0.24,7.1,1.9,3.1,30.8,6.2,0.69,13,16,0.11,0.7,190,7,9,25,66,0.63,113.5033951,192.8097687,205.1743317,260.1749878,-0.033359308,14.42799377,2.291386604,1068.132568,-0.031514522,233.242053,233,273.5236816,4.55700016,7,-0.007734405,4.14E-06,0.066894807,0.116753519,11,2,0,14.57658768,23.99225235,0.185666367,33.40825653,0.185924351,5.784001827,0.173130915,6.202789307,1.07389462,0.110827491,0.173332855,0.828413606,294.5,1079,1724
7,801260.1262,6760181.44,2,OD01,17/05/2020,2020,45,30,60,8.4,7.1,0.12,NA,10,6.9,0.8,NA,NA,22,0.24,8.4,3.1,2.6,34,9.1,NA,NA,NA,NA,NA,29,NA,6,22,72,NA,113.5033951,192.8097687,205.1743317,260.1749878,-0.033359308,14.42799377,2.291386604,1068.132568,-0.031514522,233.242053,233,273.5236816,4.55700016,7,-0.007734405,4.14E-06,0.066894807,0.116753519,11,2,0,14.57658768,23.99225235,0.185666367,33.40825653,0.185924351,5.784001827,0.173130915,6.202789307,1.07389462,0.110827491,0.173332855,0.828413606,294.5,1079,1724
8,801260.1262,6760181.44,2,OD01,17/05/2020,2020,75,60,90,7.6,7.5,1.96,NA,10,11,0.7,NA,NA,37,0.26,8.4,4.2,4.4,50.2,8.4,NA,NA,NA,NA,NA,2100,NA,5,23,72,NA,113.5033951,192.8097687,205.1743317,260.1749878,-0.033359308,14.42799377,2.291386604,1068.132568,-0.031514522,233.242053,233,273.5236816,4.55700016,7,-0.007734405,4.14E-06,0.066894807,0.116753519,11,2,0,14.57658768,23.99225235,0.185666367,33.40825653,0.185924351,5.784001827,0.173130915,6.202789307,1.07389462,0.110827491,0.173332855,0.828413606,294.5,1079,1724
9,799515.1199,6760119.608,3,OD01,17/05/2020,2020,7.5,0,15,7.5,6.7,0.15,0.9,10,9.5,1,10,50,22,0.37,8.1,1.2,2.7,31.9,3.8,0.82,8.3,20,0.19,0.6,48,13,10,40,50,0.84,101.1502075,173.718277,196.5285339,237.8234863,0.032330982,16.243433,1.861137867,1122.389893,-0.063447037,229.2184862,228,4.86390686,5.503156662,7,-0.009305952,-1.70E-05,0.105404571,0.183965892,11,1,0,13.27542591,23.62413025,0.168983281,38.67575073,0.124277033,5.333262444,0.137896806,6.535555363,0.901232183,0.114497095,0.169486761,0.773954451,390.25,1144.4,1889.5
10,799515.1199,6760119.608,3,OD01,17/05/2020,2020,22.5,15,30,8.4,7.7,0.4,2.5,10,11,1,5,76,25,0.23,8.9,2.5,2.8,37.1,6.9,0.64,7.4,7.4,0.08,0.9,190,6,9,24,67,0.63,101.1502075,173.718277,196.5285339,237.8234863,0.032330982,16.243433,1.861137867,1122.389893,-0.063447037,229.2184862,228,4.86390686,5.503156662,7,-0.009305952,-1.70E-05,0.105404571,0.183965892,11,1,0,13.27542591,23.62413025,0.168983281,38.67575073,0.124277033,5.333262444,0.137896806,6.535555363,0.901232183,0.114497095,0.169486761,0.773954451,390.25,1144.4,1889.5
